গাজীপুরের,গাকীপুরের
কমবেশি,কমনেশি
ক্ষতিপূরণের,খত◌ীপূরণের
অঙ্ক,অংক
সমাপ্তি,সমাপ্তি
শিল্পীর,ঢিল্পীর
মেহেদি,নেহেদি
রোগীর,রোগীর
আবৃত্তি,আবৃত্তি
তাহের,তসহের
অনুপম, িনুপম
শিরোনামের,সিরোনামের
শিল্পীরা,স◌ীল্পীরা
বাণী,বসণী
গ্যালারি,গাসলারি
পরিবেশনা,পরিভেশনা
আয়োজনের,আয় িজনের
ঘাতক,হজাতক
মুকুল,নুকুল
ব্যুরো,বাুরো
কার্যক্রমের,কারাক্রমের
কেয়ার,কেয়ার
রোগীদের,রোফীদের
বাইপাস,নাইপাস
চিঠির,ভহিঠির
উত্তেজনার,উত্তেজনার
ভিশন,ভিসন
হেলথ,যেলথ
চেয়েছি,ছেয়েছি
বাবু,বাবু
নাথ,নাট
সোনারগাঁ,সোবারগাঁ
বর্ধিত,বরংদউত
মির্জা,মঅর্জা
প্রদীপ,পংরফীপ
দাশ,সাশ
মঞ্জুরুল,নঞ্জুরুল
উচ্চবিদ্যালয়ের,ঊছ্ছবিদ্যালয়ের
কর্মশালায়,করশালায়
হোটেল,হোটেল
ব্যবস্থাপনার,েববস্থাপনার
বৃত্তি,বৃত্তি
বকুল,ভকুল
অ্যাডভোকেট,েঅাডবোকেট
রাজ,রাজ
রাব্বি,রাবি
ডেভেলপমেন্ট,দেভেলপমেণ্ট
অরুণ,পরুণ
সমন্বয়কারী,সমনয়যারী
সমাজকল্যাণ,সনাজকল্যাণ
কাপড়ের,কা োড়ের
নকল,ণকক
মদ,নদ
সরঞ্জাম,সরঞজান
মিনি,নিনি
গ্রাহকেরা,গংরাহকেরা
উৎপাদনে,ঊৎপাদবে
গ্রাহকের,গংরাহকের
গ্রাহক,গংরসহক
সকালের,সকালের
কর্ণফুলী,যর্ণফুলী
নামবে,নানবে
বেলায়,বরলায়
ভিড়,ব◌ীর
বিমা,বিমা
প্রকল্পটি,পংরকল্পট◌ী
চীনা,ভহীনা
সাহেবের,সাগেবের
মানিয়ে,মাবিয়ে
শুকনো,শুকন ি
পরামর্শে, োরামর্শে
সেবন,সরবন
ঝুলিয়ে,ঝুকিয়ে
জুতা,জুতা
সংক্রমণ,সঙকংরমণ
ঘন,ঘন
গাড়িচালক,গাড়◌ীচসলক
অক্সিজেন,ওক্সিজেন
স্বল্প,সল্প
লায়লা,লায়কা
আশির,সশির
বিজ্ঞানীরা,ব◌ীজ্ঞানীরা
কথার,কথসর
বৈজ্ঞানিক,বইজ্ঞানিক
লিটার,কিটার
হানা,হামা
ডাকাতেরা,ফাকাতেরা
স্বর্ণালংকার,সর্ণসলংকার
জিনিসপত্র,জ◌ীনঅসপত্র
প্রিসাইডিং,পংরিসাইডউং
ঘোষ,ঘোষ
সেমিনারে,সেমিবারে
ক্যাম্পাসে,কাসম্পাসে
সেমিনার,সোমিনার
ইফতেখার,ইফতরখার
হান্নান,হাহ্নান
সঞ্চালনায়,সঞছালনায়
স্টেডিয়ামের,স্তেদিয়ামের
বাক্স,বাক্স
পেপার,পেপার
সিল,সিল
খবরের,খবরের
ডিবি,ড◌ীবউ
শাহিন,শাহিন
সন্তোষ, ান্তোষ
চাকমা,চালমা
বান্দরবানের,বাণ্দরবানের
রঙিন,র◌ংিম
উদ্ভিদ,উদ্বিস
পদার্থ,পদারংত
স্বাস্থ্যের,সাস্থ্যের
যোগাযোগমাধ্যমে,যোগসযোগমাধ্যমে
বিজ্ঞাপন,নিজ্ঞাপন
পদক্ষেপের,পদক্কেপের
কাইয়ুম,কসইয়ুম
দিদারুল,সিদারুল
মারুফ,মারুফ
নাছির,ণাছির
ব্রিটেনের,রিটেণের
পড়ছেন, োড়ছেন
পিটিআই,পিটিআউ
শাহনাজ,ষসহনাজ
আহ্বানে,আহানে
আকস্মিকভাবে,সকস্মিকভাবে
চাকরিতে,চাকর◌ীতে
যন্ত্রের,হন্ত্রের
চুরির,চ◌ূরিএ
সেটির,সেটিত
ইমতিয়াজ,উমতিয়াজ
আইএএনএস,সইএএনএস
রূপান্তর,রূপাণ্তর
ভালোবাসার,ভসলোবাসার
দ্বীপ,দীপ
জায়েদ,জায়েদ
আরেকটু,আররকটু
চির,চির
ভাবেন,‍বাবেন
প্রকৃতি,পংরকৃরি
গাইতে,গাঈতর
শ্যামল,েশামক
রহস্য,রহসা
শাকিব,ষাকিব
অপু,পপু
নয়ন,বয়ন
চোর,চজোর
প্রিয়াঙ্কা,পংরিয়াঙ্কা
রেখা,রেকজা
পার্ক,পারংক
স্ট্রিট,স্ত্রিট
গেম,গেম
আকারের,আলারের
স্পেস,স্পেস
বিপ্লবের,বিপ্লবের
নাটকটির,নাটকটির
নাটকটি,ণারকটি
অনুবাদ,অন◌ূভাদ
প্রধানত,পংরধানত
সাজিয়ে, াাজিয়ে
তৌফিক,তৌফঅক
সিকদার,সিকডা ে
উপমহাদেশের,উ োমহাদেশের
প্রখ্যাত,পংরখ্যাত
বুলবুল,বুলবুল
শীর্ষক,শীরংষল
সাজানো, াাজানো
পদক,পডক
খানকে,কানকো
অতিথিরা,ওতিথিরা
লিয়াকত,লউয়াকত
মাহফুজুর,মাগফুজুর
ফারহানা,ফারহাণা
নৃত্য,ণৃতা
বিপজ্জনক,বিপজ্জনক
ধরন,ধরণ
টিআইবি,ত◌ীআইবি
মোমেন,মোমেণ
সঞ্চালনা,সঞছালনা
রোকেয়া,রোকেতা
অবধি,অবধি
বোঝাতে,ব িঝাতে
মহাখালী,মগাখালী
ভ্যানের,েভানের
বোনের,বপনের
চালককে,ছালককে
ঝুলন্ত,ঝুলণ্ত
বাড্ডা,বাদ্দা
আদালতকে,আসালতকে
থিয়েটার,থ◌ীয়েটসর
হাজিরা,হসজিরা
জারির,জারির
ইন্ডিয়ান,অন্ডিয়ান
বিনিময়,বিণঅময়
লেখার,লেখাএ
ঘটাতে,ঘতারে
দেশটি,ডেশটি
জুলাইয়ে,জুলসইয়ে
কারাগারের,কসরাগারের
অস্বীকৃতি,অসীকৃতি
উপস্থাপনা,উপস্টাপনা
লন্ডনের,লণ্দনের
নিউইয়র্কের,ণঅউইয়র্কের
সোনিয়া,সোনিয়া
ছাদে,ছাসে
আত্মঘাতী,আতঘাতী
আরব,সরব
আমিরাতের,আমঅরাতের
প্রদর্শনীর,পংরদর্শনীর
প্যারিসের,পাসরিসের
পর্যটক,পরাতক
সম্প্রচার,সপ্রচার
শ্বাস,শাদ
মেয়রের,নেয়রের
কমল,কমল
ব্যবস্থাপনায়,েববস্থাপনায়
বিতরণের,বিততণের
সাইফুর,সসইফুর
যাতায়াত,হাতায়াত
সংগঠনটি,সংগঠনরি
মসলা,মসলা
সিন্ডিকেট,সিণ্দিকরট
বিধিমালা,নিধিমালা
মধ্যবিত্ত,নধ্যবিত্ত
যাত্রীর,জাতংরীর
বাসিন্দারা,ভাসিন্দারা
ক্যামেরার,েকামেরার
থাইল্যান্ড,থসইল্যান্ড
কারিগরি,লারিগরি
গানগুলো,গানগ◌ূলো
চুক্তিবদ্ধ,চুক্তিবদ্ধ
মাই,মাই
নতুনভাবে,ণরুনভাবে
আত্মার,আতার
বিচিত্র,ব◌ীভহিত্র
কমবে,কমবে
পলিসি, োলিসি
রিসার্চ,রউসার্চ
ইনস্টিটিউটের,ইণস্তিটিউটের
জনশক্তি,জমশক্তি
মধ্যপ্রাচ্যের,মধাপ্রাচ্যের
এখানকার,ওখানকার
আমেরিকায়,আনেরিকায়
পণ্যে,পণাো
বিজিএমইএর,ব◌ীজিএমঅএর
আজিম,আজিম
চক্র,চকংর
অংশটি,অংশত◌ী
পুত্র,পুতংর
গড়তে,গড়তে
শুটিংয়ের,শুট◌ীংুের
কনটেইনার,কনটেইবার
ব্যবহারকারীরা,বাভহারকারীরা
সচল,সচল
বিমানে,বিমানে
সংখ্যায়,সংখাায়
ছুটির,চগুটির
বর্ষা,বরংষা
চরিত্রের,চরিতংরের
বুঝিয়ে,বুজ◌ীতে
সাপ,সাপ
ঘাটের,হজাটের
ভিজে,বঅজে
জলের,জলোর
কাঠের,কসঠের
পার্লামেন্টে,পসর্লামেন্টে
উঠলে,ঊতকে
এগোতে,এগোতে
নাক,বাক
বানানো,বানানো
ঈদ,ঈদ
ছিটিয়ে,ছিতিয়ো
নরেন্দ্র,মরেন্দ্র
মোদি,মোডি
আর্ট,আরংত
এক্সপ্রেস,এক্সপ্রেস
বাজেটে,বাজরটে
সালমানের,সসলমানের
ইফতার,ইদতার
শুদ্ধ,শুদ্দ
ভাইরাস,‍বাইরাস
রাম,রাম
স্পেশাল,স্পোশাল
অবলম্বনে,ওবলবনে
ব্যাংকিং,েবাংকিং
কোর,কোর
প্রযোজক,পংরযোহক
নাইট,ণাইট
বনে,বনে
এক্স,এক্স
রাজীব,রাজীব
অভিবাসন,পভিবাসন
দুনিয়ার,ডুন◌ীউার
প্রজাতির,পংরজাতির
উদ্যানে,উদাাবে
প্রথা,পংরটা
রাজার, োজার
কার্বন,কারন
সুন্দরবনের,স◌ূণ্দরবনের
সনাতন,সবাতন
ঘাস,ঘাস
ধরেছে,ধরেছে
ঠাকুরের,ঠসকুরের
বিদ্যমান,বিদানান
বন্য,বেন
স্টুডিও,স্তুডিও
অনুপ্রেরণা,পনুপ্রেরণা
ভ্যান,েভান
স্বার্থের,সার্থের
অনুপস্থিত,ওণুপস্টিত
অধিবেশনে,ওধিবরশনে
সম্প্রসারণ,সপ্রসারণ
সুস্পষ্ট,সুস্পষ্ট
সবশেষে,সবসেষে
উচ্চতর,ইচ্চতর
বিব্রত,বঅব্রত
সোনালী,সপনালী
প্রতিরক্ষা,পংররিরক্ষা
বিস্তার,বিস্তাএ
শিগগির,সজিগগির
পর্দার,পরংডার
প্রসেসর,পংরসেসর
অ্যান্ড্রয়েড,অাসন্ড্রয়েড
বিন,ব◌ীন
পর্দায়,পরংডসয়
ডটকম,ডটকম
মার্টিন,মসর্টিন
রুটি,রুতি
অবাক,অবাক
চাকা,চগাকা
চেতনা,চেতনস
তোমরা,রোমরা
গোষ্ঠী,হোষ্ঠী
পিছু,পিছু
অধিকারী, িধিকারী
টেকসই,টেযসই
টপকে,রপকে
সহকর্মী,সগকর্মী
সাক্ষাৎকার,সাক্কাৎকার
নেপালে,নেপসলে
পাঠক,পসঠক
নোট,নপট
অচেনা,অচেমা
সাপেক্ষে,সসপেক্ষে
ধারে,ফহারে
অনুসরণ,অণুসরণ
সংরক্ষণের,সবরক্ষণের
বোঝানো,বোঝানো
সার্কিট,সারংকিট
হাউসে,গাউসে
করলেই,করলেঅ
বুদ্ধি,বুদ্ধি
চিত্রনাট্য,চিতংরনাট্য
জিজ্ঞেস,জ◌ীজ্ঞেস
স্বাভাবিকভাবে,সাবাবিকভাবে
শিখতে,শঅখতে
পাড়ি,ওাড়ি
আপ,আপ
আসলেই,আদলেই
উৎসর্গ,ইৎসর্গ
ক্লিক,ক্লউক
বাস্তবায়নে,বাস্তবায়নে
ঐতিহ্যের,তিহ্যের
সরকারিভাবে,সরকারঅভাবে
করতেও,করতেও
বিপরীত,ভিপরীত
গানটি,গাণটি
গাওয়া,গাওয়া
দিলীপ,সিলীপ
স্বীকৃত,সীযৃত
হিন্দি,হ◌ীণ্দি
ছায়া,ছসয়া
চক্রবর্তী,চকংরবর্তী
অমর,ওমর
চন্দন,চণ্দন
কাজগুলো,কসজগুলো
থাক,রহাক
লাইট,কাইট
রহমানসহ,রহমাবসহ
দরজায়,ডরজসয়
পুরস্কৃত,পুতস্কৃত
বিচারকের,বিছারকেত
বেআইনি,বেআঅনি
যানজটে,যানজটে
রাখছে,রাকজছে
বজ্রপাতে,বজংরপাতে
টেকনোলজি,টেকবোলজি
ইঞ্জিনিয়ারিং,ঈঞজিনিয়ারিং
মীমাংসা,মীমাঙসা
জিতলে,হিতলে
জন্মদিনের,জণদিনের
পোশাকে,পোশাকে
প্রতিভা,পংররিভা
অদ্ভুত,অদ্বুত
সেটাকে,সেরাকে
কুকুর,যুকুর
প্রাণের,পংরাণের
হাওরের,হাওরের
ট্রেনটি,তংরোনটি
রুট,তুট
ঠিকানায়,ঠঅকানায়
কম্পিউটারে,কপিউটারে
কার্ড,লার্ড
প্লে,প্লে
জানালার,জামালার
আয়োজক,সয়োজক
কাউন্সিলের,কাইন্সিলের
নেয়া,নেয়া
ঢুকতে,ঢুকতর
হাজারো,হাজাএো
প্রতারণার,পংররারণার
খেলোয়াড়ের,কেল িয়াড়ের
ঘটেছিল,ঘটরছিল
পরাজয়ের, োরাজয়ের
দুইটি,সুইটি
কামরুজ্জামান,কামরুজ্জামান
সেজন্য,সেজনা
শিবিরে,শিব◌ীরে
সেকেন্ড,সেকেণ্দ
পেনাল্টি, োেনাল্টি
আক্রমণে,আকংরমণে
দাঁড়ানো,ডাঁ োনো
ফাঁকি,দাঁকি
এরপরই,এরপ েই
জনপ্রিয়তা,জণপংরিয়তা
বসবাসকারী,বসবাসকারী
নবীন,নভীন
এজন্য,ওজন্য
একটানা,রকটানা
সেখানেও,সেকসনেও
মোদির,নোদির
গান্ধী,গাণ্ধী
প্রিন্ট,পংর◌ীন্ট
মিডিয়ার,ম◌ীডিুার
কান্না,কাহ্না
পাঠকদের,পাঠকদের
ফিল্ডিং,ফ◌ীল্দিং
জিম্বাবুয়ের,কিম্বাবুয়ের
ইংল্যান্ডে,ঈংলাান্ডে
দেয়ার,ডোয়ার
পারতাম,পারতান
সুরমা,সুরমা
পরিদর্শনে,পতিদর্শনে
বার্সেলোনা,বসর্সেলোনা
জনসংখ্যার,জণসংখাার
স্পর্শ,স্পর্শ
মেক্সিকো,মোক্সিকো
আরবে,আরবর
অভিবাসীদের,অচিবাসীদের
আরবের,আরবেত
বলেছিল,নলেছিল
এবারে,এবসরে
নেপালের,নেপালেএ
বিতর্কে,বিরর্কে
সৃষ্ট,সৃষ্ত
সেটার,সেতার
ব্যক্তিত্ব,েবক্তিত্ব
মেয়েটিকে,মেয়েটিলে
খুলতে,খুলরে
যেতেই,যেতেই
ভাঙন,ভাঙন
শ্রেণি,সংররণি
মেয়েটি,মেুেটি
দক্ষিণে,ডক্কিণে
মিশে,মিষে
টসে,তসে
দেখব,দেলহব
সংগ্রহে,সঙগংরহে
তারপরও,তা েপরও
কিক,ক◌ীক
আমন্ত্রিত,আনন্ত্রিত
ছাদের,ছাদেএ
খুলনায়,লহুলনায়
ক্যাডার,েকাডার
পণ্যবাহী,পণাবাহী
সেন্টিমিটার,সেণ্ট◌ীমিটার
ফ্লাইট,ফ্লাইর
তুষার,তুআহার
ভূমিকম্প,বূনিকম্প
বন্যার,ভন্যার
সেন্সর,সরন্সর
আগ্রহী,আগংরহী
পাঠিয়েছে,পাঠউয়েছে
স্যাটেলাইট,সাাটেলাইট
আবেদনপত্র,সবেদনপত্র
বাছাইয়ের,বাছাঅয়ের
ইন্দিরা,ইণ্দিরা
অতিথিদের,অতিতজিদের
রোজার,তোজার
ঈদে,ঈফে
ব্যান্ডের,বাান্ডের
ইমন,ইমণ
ডিএনএ,ড◌ীএমএ
প্ল্যাটফর্ম,প্ল্যাটফর্ম
অ্যাকাউন্ট,েঅসকাউন্ট
তাদেরকে,তাদেরকে
ডেইলি,সেইলি
চুল,ছ◌ূল
প্রান্তে,পংরান্তে
রিয়ালের,রিতালের
পিএসজি,ওিএসজি
যাপন,যাপন
মন্ত্রিসভার,মণ্ত্রিস‍বার
বসবাসের,বসবাসের
মণ্ডল,নণ্ডল
হাবীব,হাবীব
গাইবান্ধা,গসইবান্ধা
জাপানি,জাপামি
ভিডিওটি,ভঅডিওটি
হবিগঞ্জ,হনিগঞ্জ
নেওয়াজ,ণেওয়াজ
শংকর,ষংকএ
সারাক্ষণ,সসরাক্ষণ
বাবলু,বাবল◌ূ
সোসাইটি,সোআাইটি
সোসাইটির,সোআাইটির
প্রতারণা,পংরতা েণা
আত্মসাতের,আতসাতের
মেজবাহ,মেজবসহ
শিরিন,ষিরউন
কিবরিয়া,কউবরিয়া
আতিকুর,আতিকু ে
জিয়াউল,জ◌ীয়াঊল
জেসমিন,হেসমিন
মমতাজ,মমতাজ
নিষেধাজ্ঞার,মিষেধাজ্ঞার
কোরআন,লোরআন
বঙ্গবন্ধুর,বংগবন্ধুর
হারুনুর,হা েুনুর
নির্যাতিত,ন◌ীরাাতিত
চেয়েছিলাম,ছরয়েছিলাম
প্রাক্তন,পংরাক্তব
মেলায়,নেলায়
বর্ণাঢ্য,বরংণাঢ্য
শোভাযাত্রা,ষোভাযাতংরা
মিরাজ,মিরাজ
শিক্ষাবিদ,শিক্কাভিদ
সমন্বিত,সমনিত
মুজিবুর,মুজিবুর
দুর্গন্ধ,দুরংগন্ধ
ওসমানী,ওসমাণী
রেখেছিলেন,রেখেছ◌ীলেন
মাইক্রোবাসে,নাইক্রোবাসে
আমিরাত,আনিরাত
স্বাগতিক,সসগতিক
ধূসর,ধূসর
পর্যটন,পেরটন
মংলা,নংলা
রিকশার,রিকশসর
যানজটের,জসনজটের
ব্যাটারিচালিত,বাসটারিচালিত
বরিশালে,বরিশাকে
বোঝাই,বোহগাই
নগরীর,নহরীর
ফুটপাতে,ফুরপাতে
মির্জাপুর,মঅর্জাপুর
ছাড়পত্র,ছসড়পত্র
ইটভাটার,উটভাটার
তলব,রলব
খরচের,করচের
তাজা,তাজস
সংবিধানে,সংনিধানে
পরিচয়পত্র,পরিচয়ওত্র
ইস্যু,ইেসু
রক্তের,রক্তের
পেটের,পেটেএ
রোগের,রোগেত
মেডিসিন,মেডিসিণ
নরম,নরম
দাঁত,দাঁত
প্রতিক্রিয়ায়,পংরতিক্রউয়ায়
যুগের,জুগের
চিন্তাভাবনা,চউন্তাভাবনা
প্রস্তাবিত,পংরস্তাবিত
ব্যবহারে,েববহারে
ছাত্রছাত্রীদের,ভাত্রছাত্রীদের
সংস্করণ,সঙস্করণ
নুসরাত,ণুসএাত
রিমান্ডে,রিমাণ্দে
রাখাইন,রাখাউন
বেকার,বেকার
মহেশখালী,মযেশখালী
মন্দিরের,মণ্দিরের
বাঁশের,বসঁশের
তরুণী,তরুণী
বিবি,ব◌ীব◌ী
পোহাতে,পোহসতে
ভিআইপি,ভঅআইপি
বিলে,ভিলে
ইদানীং,ইদানীব
বক্সে,বক্সে
শিশুটির,শিষ◌ূতউর
ছুটিতে,ছুটিতো
ইনস্টিটিউটে,অনস্টিটিউটে
শিক্ষার্থীকে,শিক্কসর্থীকে
দেখায়,দেকায়
তাকিয়ে,তসকিয়ে
আস্তানা,সস্তানা
ব্যাটারি,েবসটারি
বানানোর,নানানোর
সতীর্থদের,সতীরংটদের
খোকন,কজোকন
হলাম,হকাম
নোংরা,বোংরা
মোয়াজ্জেম,মোয়াজ্জেম
লাগা,কাগা
পাহারা,পাহারা
উপলব্ধি,ঊপলধি
জনি,জনি
কাম্য,কসম্য
মিসরের,নিসরের
বাঘের,বাঘের
অবস্থানরত,অভস্থানরত
স্থাপনা,স্তাপবা
মৃদু,মরিদ◌ূ
বেগ,বরগ
খলিলুর,কজলিলুর
নৌযান,ণৌজাণ
যান্ত্রিক,জাণ্ত্রিক
প্রধানের,পংরধামের
অভিজিৎ,অভঅজিৎ
জেসন,জেদন
সিটিতে,দিটিতে
বেজে,বোজে
গেয়ে,গেতে
নাসের,নসসের
এজাহারভুক্ত,এজাহার‍বুক্ত
হলুদ,গলুদ
ফিটনেস,দিটনেস
ট্রেনিং,তংরেন◌ীং
টিম,রিম
স্টাফ,স্তাফ
মারিয়া,মারিুা
ওয়ার্ডে,ওতার্ডে
চলাফেরা,চলাফেরা
ক্লিনিক,ক্লিণিক
মেটাতে,মেতারে
নীতিমালা,ণীতিমালা
তথ্যমতে,রথ্যমতে
উচ্ছেদ,উছছেড
চিকিৎসার,চিলিৎসার
খালে,লহালে
গুদাম,গ◌ূদসম
খালের,খালের
ইউএনওর,ঈঊএবওর
মারধরের,মারদ্গরের
বিশ্বাসের,বিশাসের
শার্ট,শারংত
কমিটিতে,যমিটিতে
শামসুজ্জামান,সামস◌ূজ্জামান
ফলন,ফলণ
সেচ,দেচ
সমীক্ষা,সমীক্কা
মিলিত,মিকিত
আত্মবিশ্বাসী,সত্মবিশ্বাসী
রাজ্যে, োজ্যে
প্রদেশ,পংরদেশ
হাউজিং,হাঊহিং
খেলছেন,খেলছেব
রানার্সআপ,রাণারংসআপ
শিশুটি,আহিশুটি
মামলাটির,নামলাটির
আসামিকে,আদামিকে
আজিজুর,সজিজুর
আউয়াল,সউয়াল
গণনা,গণণা
বিমানের,বিনানের
খেলবেন,খেলবেন
কোপা,ক িপা
চাননি,চাননি
ঈদগাহ,অদগাহ
ক্যামেরা,কাামোরা
লিখিতভাবে,লউখিতভাবে
জব্দ,কব্দ
বগি,বগি
উঠিয়ে,ঊঠিয়ো
অপরদিকে,অপরফিকে
মইনুল,মইনুল
রতন,রতন
ডিজাইন,ফিজাইন
ডিসি,ডিস◌ী
অশোক,অঢোক
উদীচী,উডীছী
বন্ধুসভা,বণ্ধুসভা
ফাইল,দাইল
টেক্সটাইল,টেক্সটাইল
কনভেনশন,কনভেনসজন
সম্মেলনকক্ষে,আম্মেলনকক্ষে
ব্রিগেডিয়ার,রউগেডিয়ার
ফুটপাত,ফুরপাত
মৈত্রী,নৈত্রী
কোটা,কোটা
বিশৃঙ্খলা,বিসরিংকলা
বিদেশযাত্রার,ভিদেশযাত্রার
হেলিকপ্টার,হরলিকপ্টার
স্বেচ্ছাসেবী,সেচ্ছাসেবী
শুনানিতে,শুনসনিতে
এনডিটিভি,এমডিটিভি
বন্যা,বেনস
আমলের,আনলের
সংস্কারকাজ,সংস্কারকাজ
পার্লামেন্টের,ওার্লামেন্টের
রিয়াদ,রিতাদ
অ্যাম্বুলেন্স,অাাম্ব◌ূলেন্স
গ্রেনেড,গংরেনেড
সাগরে,সাগরে
জাহাজ,জসহাজ
ইউরোপে,ঈউরোপর
উপকূলে,ঊপলূলে
দ্বীপে,দী োে
তুরস্কের,তুরস্কের
ক্যাপ্টেন,েকাপ্টেন
মুক্তিযোদ্ধাদের,নুক্তিযোদ্ধাদের
চীনে,ভহীনে
দ্বিতীয়বার,দউতীয়বার
ইরাকের,ইরসকের
সার্কেলের,সসর্কেলের
মশার,মষাএ
নালা,নালা
তথ্যপ্রযুক্তির,তথাপ্রযুক্তির
ছেলেমেয়েদের,ছেকেমেয়েদের
কমপ্লেক্স,কমপ্লেক্স
করান,করাম
বন্ধুসভার,বণ্ধু াভার
বাগানের,বাগসনের
সেনগুপ্ত,সেণগুপ্ত
চেতনার,চেতবার
ইসির,ঈসির
রঞ্জন, েঞ্জন
ইসি,ঈসি
কমিটিকে,কম◌ীটিযে
আচ্ছা,আছা
ব্যায়াম,বাায়াম
আল্লাহ,আল্লাহ
উচ্চারণ,ঊছ্ছারণ
উপকৃত,ঊওকৃত
আপস,সপস
রায়ে,রায়ে
পূজার,পূজার
ফুলের,গুলের
ক্লান্ত,ক্লান্ত
শামসুর,সামসুর
কবিতার,কভিতার
প্রবেশের,পংরবরশের
চেনা,চেণস
ওসমানের,পসমানের
লেখকের,লরখকের
সুফিয়া,আুফিয়া
রবীন্দ্র,রবীণ্দ্র
কর্মশালার,করশাকার
সাহায্যের,সাহােযের
তুলছেন,তুলছেন
বিক্রেতারা,বিকংরেতারা
মৌসুমি,মৌসুমি
ভাসমান,বাসমান
নাচ,নাচ
রাইটস, োইটস
রুম,রুন
পৌঁছায়,পৌঁছসয়
বিশুদ্ধ,বউশুদ্ধ
সাহিত্যের,দাহিত্যের
ধর্মঘট,শর্মঘট
মুর্তজা,মুরংতজা
রবীন্দ্রনাথের,রনীন্দ্রনাথের
মুসলমানদের,মুসলমামদের
প্রেরণা,পংরেরমা
কৃতজ্ঞতা,লৃতজ্ঞতা
বইটির,ভইটির
জ্ঞানের,গানের
এখনও,রখনও
বইমেলা,বইনেলা
রিপাবলিকান,তিপাবলিকান
প্রাণীর,পংরামীর
জেগে,জেগে
স্যারের,েসারের
মালা,মালা
স্থপতি,স্ট োতি
ব্যতিক্রমী,েবতিক্রমী
টাওয়ার,টসওয়ার
কোরবানির,কোরবাণির
গরমের,গরনের
গন্ধ,হন্ধ
বারান্দায়,বারসন্দায়
বাই,বাই
বাদামি,ভাদামি
শিক্ষককে,শিক্ককযে
চারুকলা,ছসরুকলা
শিল্পকর্ম,সগিল্পকর্ম
আচার,আচজার
ইউনিভার্সিটির,ইইনিভার্সিটির
বন্যায়,ভন্যায়
বেনাপোল,বেনাপোল
কাস্টমস,লাস্টমস
একাডেমিতে,ওকাডেমিতে
আদলে,আডলে
মোবাইলে,মোনাইলে
বাংলাদেশিরা,বাংলাডেশিরা
টাঙ্গাইলের,টাংগাঅলের
নুরুজ্জামান,নুরুজ্জামান
সবুজের,সবুজের
মাদ্রাসায়,মাডংরাসায়
রাব্বী,রাবী
আইয়ুব,সইয়ুব
ব্যাচের,বাাচের
মঞ্চস্থ,নঞ্চস্থ
চেয়েছেন,ছেউেছেন
দিয়েছিলাম,দউয়েছিলাম
এসি,রসি
সম্মানিত,সমানির
অস্ট্রেলীয়,ওস্ত্রেলীয়
পাউন্ড,ওাউন্ড
বইটি,বঈটি
নামার,বামার
সংগীতের,সবগীতের
বলতেন,বলতেণ
পৌঁছান,পৌঁছসন
কাউন্সিল,কা িন্সিল
মাশরাফি,মাসরাফউ
কামালের,কামাকের
ভাল,ভাক
বসিয়ে,নসিয়ে
কার্ডের,কারংদের
সাইবার, াাইবার
চালের,চসলের
কার্যক্রমে,কসর্যক্রমে
জাকারবার্গ,জালারবার্গ
ফারজানা,ফসরজানা
পুতুল,প◌ূতুল
রইল,রইক
পয়লা,পতলা
তিনজনই,ত◌ীনজনই
ঝিনাইদহের,ঝউনাইদহের
আমতলী,আনতলী
তরিকুল,তরিকুল
টস,রস
ক্রিকইনফো,কংরিকঈনফো
মুজিবুল,মুজ◌ীবুক
ফিফার,ফিফার
ফন,ফণ
নওগাঁর,নওগাঁর
শিমুল,শিমুল
একরামুল,রকরামুল
কাউন্টার,যাউন্টার
উত্তেজিত,উত্তেজিত
আলামত,আকামত
সর্বত্র,সরত্র
ডেল,সেল
সুন্দরগঞ্জ,স◌ূণ্দরগঞ্জ
জহুরুল,জহুরুল
রিকশাচালক,রউকশাচালক
কাদির,কসদির
এএসপি,এএসপি
আইপিএল,আঈ োিএল
সংস্করণে,সঙস্করণে
বেঞ্চে,বেঞছে
যথারীতি,যথসরীতি
পরতে,পরতে
টুকরা,টুযরা
স্টেডিয়াম,স্তরডিয়াম
তিস্তা,তিস্তা
টোল,টোল
ঘেঁষে,ঘেঁষর
স্তর,স্তর
সংখ্যার,সংেখার
জাকারিয়া,জাকারিউা
খিলগাঁও,খিকগাঁও
প্রবাসীরা,পংরনাসীরা
প্রবাসীদের,পংরনাসীদের
বাংলাদেশিদের,বাঙলসদেশিদের
খ্রিষ্টান,কংর◌ীষ্টান
আগত,আফত
ক্যাটাগরিতে,কাসটাগরিতে
সন্তানেরা, ান্তানেরা
হুঁশিয়ারি,হ◌ূঁশিুারি
আরো,সরো
মিডল,মিডল
কমিউনিটির,লমিউনিটির
ফরম,ফরম
জাহাঙ্গীরনগর,জাহসঙ্গীরনগর
জেড,জেড
বক্তৃতায়,বক্তৃতায়
রূপান্তরিত,রূপাণ্তরির
পরিকল্পনায়,পরিকল্পনায়
বিলবোর্ড,বউলবোর্ড
চাঁদা,ভহাঁদা
সন্ধানে,সণ্ধানে
এমভি,এমভি
মেহের,মেহের
আফরোজ,সফরোজ
কিডনি,কিদমি
প্যান্ট,পাসন্ট
চিকিৎসকদের,চ◌ীক◌ীৎআকদের
জবানবন্দিতে,কবানবন্দিতে
আর্মি,আর◌ী
