গাজীপুরের,গাজীপ◌ূরের
আত্মার,আতা ে
বিচিত্র,বিচিতংর
কমবে,কনবে
পলিসি,পল◌ীস◌ী
রিসার্চ,রঅসার্চ
ইনস্টিটিউটের,ঈবস্টিটিউটের
জনশক্তি,কনশক্তি
মধ্যপ্রাচ্যের,মেধপ্রসচ্যের
এখানকার,এলহানকার
আমেরিকায়,আমেরিলায়
পণ্যে,ওণ্যে
বিজিএমইএর,ভিজিএমইএর
আজিম,আজিম
চক্র,চকংর
অংশটি,ওংঢটি
পুত্র,পুতংর
গড়তে,গড়তর
শুটিংয়ের,ষুটিংয়ের
কনটেইনার,কণটোইনার
ব্যবহারকারীরা,েবনহারকারীরা
সচল,সচজল
বিমানে,বঅমানে
সংখ্যায়,সংেখায়
ছুটির,ভুটির
বর্ষা,বরংষস
চরিত্রের,চগরিত্রের
বুঝিয়ে,ব◌ূঝিয়ে
সাপ, াাপ
ঘাটের,ফগাটের
ভিজে,ভিজে
জলের,কলের
কাঠের,লাঠের
পার্লামেন্টে,ওার্লামেন্টে
উঠলে,উরহলে
এগোতে,ওগোতে
নাক,নাক
বানানো,নানানো
ঈদ,ঈস
ছিটিয়ে,ছিরিয়ে
নরেন্দ্র,ণররন্দ্র
মোদি,মোদি
আর্ট,আরংত
এক্সপ্রেস,এক্সপ্রেস
বাজেটে,নাজেটে
সালমানের,সাকমানের
ইফতার,ঈফতসর
শুদ্ধ,ঢুদ্ধ
ভাইরাস,ভাইতাস
রাম,রাম
স্পেশাল,স্পোশাল
অবলম্বনে,অবলবনে
ব্যাংকিং,েবাংযিং
কোর,কোর
প্রযোজক,পংরজোজক
নাইট,নাঈট
বনে,বনে
এক্স,এক্স
রাজীব,রাজীব
অভিবাসন,ওভিবাসন
দুনিয়ার,ডুণিয়ার
প্রজাতির,পংরজাতির
উদ্যানে,উেদানে
প্রথা,পংরথস
রাজার, োজার
কার্বন,কারন
সুন্দরবনের,সুণ্দরবমের
সনাতন,সনাতন
ঘাস,ঘসস
ধরেছে,দরেছে
ঠাকুরের,ঠাকুরের
বিদ্যমান,ব◌ীেদমান
বন্য,বনা
স্টুডিও,স্তুডিও
অনুপ্রেরণা,ইনুপ্রেরণা
ভ্যান,ভাান
স্বার্থের,সারংতের
অনুপস্থিত,অনুপস্থিত
অধিবেশনে,ওড◌ীবেশমে
সম্প্রসারণ,সপ্রসসরণ
সুস্পষ্ট,আুস্পষ্ট
সবশেষে,সবশেষর
উচ্চতর,উছ্ছরর
বিব্রত,ব◌ীরত
সোনালী,সোনালী
প্রতিরক্ষা,পংররিরক্ষা
বিস্তার,বউস্তার
শিগগির,শ◌ীগগউর
পর্দার,পরংডার
প্রসেসর,পংরসোসর
অ্যান্ড্রয়েড,অাাণ্দ্তয়েড
বিন,বঅন
পর্দায়, োর্দায়
ডটকম,ডরকম
মার্টিন,মারংতিন
রুটি,রুটি
অবাক,অবাল
চাকা,চসকা
চেতনা,চরতনা
তোমরা,তোমএা
গোষ্ঠী,গোষ্তী
পিছু,ওিছু
অধিকারী,অদজিকারী
টেকসই,টেকসই
টপকে,তপকর
সহকর্মী, াহকর্মী
সাক্ষাৎকার,সাক্কসৎকার
নেপালে,নেপালে
পাঠক,পাঠক
নোট,বোট
অচেনা,অচোনা
সাপেক্ষে,সসপেক্ষে
ধারে,ফহারে
অনুসরণ,অন◌ূসরণ
সংরক্ষণের,সঙ েক্ষণের
বোঝানো,নোঝানো
সার্কিট,সসর্কিট
হাউসে,যাউসে
করলেই,করকেই
বুদ্ধি,বুদ্ডউ
চিত্রনাট্য,চ◌ীতংরনাট্য
জিজ্ঞেস,জিজ্ঞেস
স্বাভাবিকভাবে,সাভাবিকভাবে
শিখতে,সগিখতে
পাড়ি,পসড়ি
আপ,আপ
আসলেই,আসলেঈ
উৎসর্গ,উতসরংগ
ক্লিক,ক্লিক
বাস্তবায়নে,বাস্তবায়নে
ঐতিহ্যের,অইতউহ্যের
সরকারিভাবে, ারকারিভাবে
করতেও,কততেও
বিপরীত,ভিপরীত
গানটি,গানটি
গাওয়া,হাওয়া
দিলীপ,দিকীপ
স্বীকৃত,সীযৃত
হিন্দি,হিণ্দি
ছায়া,চগায়া
চক্রবর্তী,চগক্রবর্তী
অমর,অমর
চন্দন,চণ্দণ
কাজগুলো,কাজগ◌ূকো
থাক,থায
লাইট,কাইট
রহমানসহ,রযমানসহ
দরজায়,দ েজায়
পুরস্কৃত,পুরস্কৃত
বিচারকের,ব◌ীচারকের
বেআইনি,বেআউনি
যানজটে,কানজটে
রাখছে,রাখছে
বজ্রপাতে,বজংরপাতে
টেকনোলজি,টেকণোলজি
ইঞ্জিনিয়ারিং,ইঞজিবিয়ারিং
মীমাংসা,নীমাংসা
জিতলে,জিতকে
জন্মদিনের,হন্মদিনের
পোশাকে, োোশাকে
প্রতিভা,পংরতিবা
অদ্ভুত,ওদ্বুত
সেটাকে,সরটাকে
কুকুর,লুকুর
প্রাণের,পংরাণের
হাওরের,হসওরের
ট্রেনটি,তংরেণটি
রুট, েুট
ঠিকানায়,টিকানায়
কম্পিউটারে,কপিউটসরে
কার্ড,লার্ড
প্লে,প্লে
জানালার,কানালার
আয়োজক,আয়োজক
কাউন্সিলের,কা িন্সিলের
নেয়া,নরয়া
ঢুকতে,ডুকরে
হাজারো,যাজারো
প্রতারণার,পংরতারণার
খেলোয়াড়ের,ঝেলোয়াড়ের
ঘটেছিল,ঘরেছিল
পরাজয়ের, োরাজয়ের
দুইটি,দ◌ূইরি
কামরুজ্জামান,কামরুজ্জামান
সেজন্য,সেজেন
শিবিরে,শিব◌ীরে
সেকেন্ড,সেকেণ্দ
পেনাল্টি,পোনাল্টি
আক্রমণে,আকংরমণে
দাঁড়ানো,দাঁতানো
ফাঁকি,ফসঁকি
এরপরই,এর োরই
জনপ্রিয়তা,জনপংরিয়তা
বসবাসকারী,বদবাসকারী
নবীন,মবীন
এজন্য,এজেন
একটানা,একটামা
সেখানেও,সেকামেও
মোদির,মোড◌ীএ
গান্ধী,ফান্ধী
প্রিন্ট,পংর◌ীন্ট
মিডিয়ার,ম◌ীডিয়ার
কান্না,কাহ্না
পাঠকদের,পারহকদের
ফিল্ডিং,ফ◌ীল্দিং
জিম্বাবুয়ের,জিবাভুয়ের
ইংল্যান্ডে,ইংলাসন্ডে
দেয়ার,দরয়ার
পারতাম,পারতসম
সুরমা,দুরমা
পরিদর্শনে,পর◌ীডরংষনে
বার্সেলোনা,নার্সেলোনা
জনসংখ্যার,জমসংখ্যার
স্পর্শ,স্পর্শ
মেক্সিকো,মেক্সিকো
আরবে,আরনে
অভিবাসীদের,অ‍বিবাসীদের
আরবের,আরবোর
বলেছিল,বলেছঅল
এবারে,এবারো
নেপালের,নেপালোর
বিতর্কে,বিতরংকে
সৃষ্ট,সৃষ্ত
সেটার,সেটা ে
ব্যক্তিত্ব,েবক্ত◌ীত্ব
মেয়েটিকে,মেয়েটিকে
খুলতে,কগুলতে
যেতেই,জোতেই
ভাঙন,‍বাঙন
শ্রেণি,সংরেণি
মেয়েটি,মেয়েটি
দক্ষিণে,দক্কিণে
মিশে,মিষে
টসে,তসে
দেখব,ডোখব
সংগ্রহে,সংগংরহে
তারপরও,তসরপরও
কিক,কিয
আমন্ত্রিত,আমণ্ত্রিত
ছাদের,চগাদের
খুলনায়,কুলনসয়
ক্যাডার,কাাসার
পণ্যবাহী,পণাবাহী
সেন্টিমিটার,সেণ্টিমিটার
ফ্লাইট,ফ্লাইর
তুষার,তুষার
ভূমিকম্প,ভূমিকপ
বন্যার,বেনার
সেন্সর,সোন্সর
আগ্রহী,আগংরহী
পাঠিয়েছে,পসঠিয়েছে
স্যাটেলাইট,সাসটেলাইট
আবেদনপত্র,আবরদনপত্র
বাছাইয়ের,নাছাইয়ের
ইন্দিরা,ঈণ্দিরা
অতিথিদের,অতিরহিদের
রোজার,এোজার
ঈদে,ঈদে
ব্যান্ডের,বাান্ডের
ইমন,ইমন
ডিএনএ,দউএনএ
প্ল্যাটফর্ম,প্ল্হাটফর্ম
অ্যাকাউন্ট,অাসকাউন্ট
তাদেরকে,তাডেরকে
ডেইলি,ডেউলি
চুল,চুল
প্রান্তে,পংরসন্তে
রিয়ালের,র◌ীয়ালের
পিএসজি,ওিএসজি
যাপন,যাপন
মন্ত্রিসভার,মণ্ত্ েিসভার
বসবাসের,বসবাসের
মণ্ডল,মণ্দল
হাবীব,হসবীব
গাইবান্ধা,গসইবান্ধা
জাপানি,জা োানি
ভিডিওটি,বিদ◌ীওট◌ী
হবিগঞ্জ,যবিগঞ্জ
নেওয়াজ,মেওয়াজ
শংকর,শংক ে
সারাক্ষণ,সসরাক্ষণ
বাবলু,বাবলু
সোসাইটি,সোসাউটি
সোসাইটির,সোসাঈরির
প্রতারণা,পংরতারণা
আত্মসাতের,আতসাতের
মেজবাহ,মেজভাহ
শিরিন,শিতিন
কিবরিয়া,কউবরিয়া
আতিকুর,আত◌ীক◌ূর
জিয়াউল,জিুাউল
জেসমিন,হেসমিন
মমতাজ,নমতাজ
নিষেধাজ্ঞার,বিষেধাজ্ঞার
কোরআন,কোরআন
বঙ্গবন্ধুর,বংগবণ্ধুর
হারুনুর,হারুন◌ূর
নির্যাতিত,ন◌ীেরাতিত
চেয়েছিলাম,ভেয়েছিলাম
প্রাক্তন,পংরাক্তব
মেলায়,মেকায়
বর্ণাঢ্য,বরংণাঢ্য
শোভাযাত্রা,সোভসযাত্রা
মিরাজ,নিরাজ
শিক্ষাবিদ,শিক্কসবিদ
সমন্বিত,সনন্বিত
মুজিবুর,মুকিবুর
দুর্গন্ধ,দুরংগন্ধ
ওসমানী,ওসমসনী
রেখেছিলেন,এেখেছিলেন
মাইক্রোবাসে,নাইক্রোবাসে
আমিরাত,আমিরসত
স্বাগতিক,সসগতিক
ধূসর,দজূসর
পর্যটন,পেরটন
মংলা,মংলস
রিকশার,রিকশার
যানজটের,কানজটের
ব্যাটারিচালিত,বাাতারিচালিত
বরিশালে,বতিশালে
বোঝাই,বোঝাই
নগরীর,নফরীর
ফুটপাতে,ফ◌ূত োাতে
মির্জাপুর,ম◌ীরংজাপুর
ছাড়পত্র,ছাড়পতংর
ইটভাটার,অটভাটার
তলব,তকব
খরচের,করচের
তাজা,রাজা
সংবিধানে, াংবিধানে
পরিচয়পত্র,ওরিচয়পত্র
ইস্যু,ইেসু
রক্তের,রক্তের
পেটের,ওেটের
রোগের,রপগের
মেডিসিন,মেডিস◌ীন
নরম,ণরম
দাঁত,ডাঁত
প্রতিক্রিয়ায়,পংরতিক্রিয়ায়
যুগের,জ◌ূগের
চিন্তাভাবনা,ছিণ্তাভাবনা
প্রস্তাবিত,পংরস্তসবিত
ব্যবহারে,বাবহারে
ছাত্রছাত্রীদের,ছসত্রছাত্রীদের
সংস্করণ,সংস্করণ
নুসরাত,ণ◌ূসরাত
রিমান্ডে,রিনান্ডে
রাখাইন,রাকাউন
বেকার,বরকার
মহেশখালী,মহোশখালী
মন্দিরের,মণ্দ◌ীরের
বাঁশের,বাঁশের
তরুণী,তরুণী
বিবি,ব◌ীবি
পোহাতে,পোগাতে
ভিআইপি,ভিসইপি
বিলে,ভিলে
ইদানীং,ইফানীং
বক্সে,বক্সো
শিশুটির,শিসুটির
ছুটিতে,ছ◌ূতউতে
ইনস্টিটিউটে,ঈনস্তিটিউটে
শিক্ষার্থীকে,শিক্কার্থীযে
দেখায়,ডেখাত
তাকিয়ে,তাকঅয়ে
আস্তানা,আস্তামা
ব্যাটারি,বাাটারি
বানানোর,ভানানোর
সতীর্থদের,সতীরংতদের
খোকন,খোলন
হলাম,গলাম
নোংরা,নোমরা
মোয়াজ্জেম,নোয়াজ্জেম
লাগা,লাগা
পাহারা,পাহারা
উপলব্ধি,উপলধি
জনি,জনি
কাম্য,কামা
মিসরের,মিসরের
বাঘের,বাঘোর
অবস্থানরত,অবস্তানরত
স্থাপনা,স্টাপনা
মৃদু,মৃদ◌ূ
বেগ,বেফ
খলিলুর,খলিল◌ূর
নৌযান,ণৌযসন
যান্ত্রিক,যাণ্ত্রিক
প্রধানের,পংরডানের
অভিজিৎ,অবিজিৎ
জেসন,জরসন
সিটিতে, ািটিতে
বেজে,বেকে
গেয়ে,ফেয়ে
নাসের,ণাসেএ
এজাহারভুক্ত,এজাহারব◌ূক্ত
হলুদ,হকুদ
ফিটনেস,ফিতনেস
ট্রেনিং,তংরেণিং
টিম,টিম
স্টাফ,স্তাফ
মারিয়া,মারিতা
ওয়ার্ডে,ওয়সর্ডে
চলাফেরা,চলাগেরা
ক্লিনিক,ক্লঅনিক
মেটাতে,মেটাতে
নীতিমালা,নীরিমালা
তথ্যমতে,তেথমতে
উচ্ছেদ,ইচ্ছেদ
চিকিৎসার,ছিকিরসার
খালে,খালর
গুদাম,গুদাম
খালের,খালরর
ইউএনওর,ইউএণওর
মারধরের,মারধরের
বিশ্বাসের,ব◌ীশাসের
শার্ট,শসর্ট
কমিটিতে,লমিটিতে
শামসুজ্জামান,আহামসুজ্জামান
ফলন,ফলন
সেচ,সেচগ
সমীক্ষা,সনীক্ষা
মিলিত,ম◌ীলিত
আত্মবিশ্বাসী,আতনিশ্বাসী
রাজ্যে,রাজাো
প্রদেশ,পংরদেসগ
হাউজিং,হাউজ◌ীং
খেলছেন,কেলছেন
রানার্সআপ,রামার্সআপ
শিশুটি,সগিশুটি
মামলাটির,মামলাটির
আসামিকে,আসামঅকে
আজিজুর,আজউজুর
আউয়াল,আঊউাল
গণনা,হণনা
বিমানের,বিমানের
খেলবেন,খেকবেন
কোপা,কোপা
চাননি,ভহাননি
ঈদগাহ,অদগাহ
ক্যামেরা,েকানেরা
লিখিতভাবে,লিখিতচাবে
জব্দ,জদ
বগি,বগউ
উঠিয়ে,উত◌ীয়ে
অপরদিকে,ওপরদিকে
মইনুল,মইন◌ূক
রতন,রতণ
ডিজাইন,ডিজসইন
ডিসি,দউসি
অশোক,অসোক
উদীচী,ঊডীচগী
বন্ধুসভা,বণ্ধ◌ূসভা
ফাইল,দাইল
টেক্সটাইল,রেক্সটাইল
কনভেনশন,কণভেমশন
সম্মেলনকক্ষে,সমেলনকক্ষে
ব্রিগেডিয়ার,রিগোডিয়ার
ফুটপাত,ফুটপাত
মৈত্রী,মৈতংরী
কোটা,লোটা
বিশৃঙ্খলা,বিসগৃঙ্খলা
বিদেশযাত্রার,বিদেশযসত্রার
হেলিকপ্টার,হেলউকপ্টার
স্বেচ্ছাসেবী,সেচ্ছাসেবী
শুনানিতে,শ◌ূণাণ◌ীতো
এনডিটিভি,এনদিটিভি
বন্যা,বনাা
আমলের,সমলের
সংস্কারকাজ,সংস্কারকাজ
পার্লামেন্টের,পারংলসমেন্টের
রিয়াদ, েিয়াদ
অ্যাম্বুলেন্স,েঅসম্বুলেন্স
গ্রেনেড,গংরেনেড
সাগরে,সাগতে
জাহাজ,জাগাজ
ইউরোপে,ই িরোপে
উপকূলে,উওকূলে
দ্বীপে,দীওে
তুরস্কের,তুতস্কের
ক্যাপ্টেন,কাাপ্টেন
মুক্তিযোদ্ধাদের,নুক্তিযোদ্ধাদের
চীনে,ছীনে
দ্বিতীয়বার,দ◌ীতীয়বার
ইরাকের,ইতাকের
সার্কেলের,সারংকেলের
মশার,মশার
নালা,নালস
তথ্যপ্রযুক্তির,তেথপংরযুক্তির
ছেলেমেয়েদের,ছেকেমেয়েদের
কমপ্লেক্স,লমপ্লেক্স
করান,করান
বন্ধুসভার,ভন্ধুসভার
বাগানের,নাগানের
সেনগুপ্ত,আেনগুপ্ত
চেতনার,চেতনার
ইসির,ইসির
রঞ্জন,রঞজণ
ইসি,উসি
কমিটিকে,কমিটিকে
আচ্ছা,সচ্ছা
ব্যায়াম,েবসয়াম
আল্লাহ,সল্লাহ
উচ্চারণ,উছ্ছারণ
উপকৃত,উপকৃর
আপস,আপস
রায়ে,এায়ে
পূজার,পূজার
ফুলের,ফুলের
ক্লান্ত,ক্লান্ত
শামসুর,শামস◌ূ ে
কবিতার,কনিতার
প্রবেশের,পংরবেশের
চেনা,চেনা
ওসমানের,ও ামানের
লেখকের,লেখকরর
সুফিয়া,সুফিয়া
রবীন্দ্র,রবীণ্দ্র
কর্মশালার,করসালার
সাহায্যের,সাহসয্যের
তুলছেন,ত◌ূকছেন
বিক্রেতারা,বিকংরেতারা
মৌসুমি,মৌদুমি
ভাসমান,বা ামান
নাচ,ণসচ
রাইটস,রসইটস
রুম,র◌ূম
পৌঁছায়,পৌঁছায়
বিশুদ্ধ,ব◌ীশুদ্দ
সাহিত্যের,সাহিেতের
ধর্মঘট,দ্গর্মঘট
মুর্তজা,মুর্তজা
রবীন্দ্রনাথের,রবীন্দ্রনাথের
মুসলমানদের,মুসলমানদের
প্রেরণা,পংরররণা
কৃতজ্ঞতা,কৃরজ্ঞতা
বইটির,বঅটির
জ্ঞানের,গানের
এখনও,একগনও
বইমেলা,বউমেলা
রিপাবলিকান,রউপাবলিকান
প্রাণীর,পংরাণীর
জেগে,জেগে
স্যারের,েসারের
মালা,মসলা
স্থপতি,স্তপতি
ব্যতিক্রমী,বাতিক্রনী
টাওয়ার,টসওয়ার
কোরবানির,কোতবানির
গরমের,গরমোর
গন্ধ,গণ্ধ
বারান্দায়,বাএান্দায়
বাই,বসই
বাদামি,বাডানি
শিক্ষককে,শঅক্ষককে
চারুকলা,ছারুকলা
শিল্পকর্ম,সজিল্পকর্ম
আচার,আভহার
ইউনিভার্সিটির,ঈইনিভার্সিটির
বন্যায়,বেনাত
বেনাপোল,বরনাপোল
কাস্টমস,কাস্তমস
একাডেমিতে,এলাডেমিতে
আদলে,আদলে
মোবাইলে,মোবসইলে
বাংলাদেশিরা,বসংলাদেশিরা
টাঙ্গাইলের,টাংগাইলের
নুরুজ্জামান,নুরুজ্জামান
সবুজের,সবুজের
মাদ্রাসায়,মাডংরা াায়
রাব্বী,রাবী
আইয়ুব,আউয়ুব
ব্যাচের,েবাচেত
মঞ্চস্থ,মঞছস্থ
চেয়েছেন,ছেয়েছেণ
দিয়েছিলাম,দিয়েচগিলাম
এসি,এস◌ী
সম্মানিত,সমানিত
অস্ট্রেলীয়,ওস্ত্রেলীয়
পাউন্ড,পা িন্ড
বইটি,বইত◌ী
নামার,নানার
সংগীতের,সংগীতের
বলতেন,ভলতেন
পৌঁছান,পৌঁছাব
কাউন্সিল,যাউন্সিল
মাশরাফি,মাষরাফি
কামালের,কামালেত
ভাল,ভাল
বসিয়ে,বদিয়ে
কার্ডের,কারংদের
সাইবার,সাঅবার
চালের,ছালের
কার্যক্রমে,যার্যক্রমে
জাকারবার্গ,কাকারবার্গ
ফারজানা,ফসরজানা
পুতুল,পুত◌ূল
রইল,রইল
পয়লা,পয়লা
তিনজনই,তিনহনই
ঝিনাইদহের,ঝিণাঅদহের
আমতলী,আমতলী
তরিকুল,তরউকুল
টস,টস
ক্রিকইনফো,কংর◌ীকইনফো
মুজিবুল,মুজিবুল
ফিফার,গিফার
ফন,দন
নওগাঁর,নওগাঁর
শিমুল,শউমুল
একরামুল,একরাম◌ূক
কাউন্টার,কাউণ্টার
উত্তেজিত,উত্তেজিত
আলামত,সলামত
সর্বত্র,দর্বত্র
ডেল,ডেল
সুন্দরগঞ্জ,সুণ্দরগঞজ
জহুরুল,জহ◌ূরুল
রিকশাচালক,তিকশাচালক
কাদির,কাডউর
এএসপি,এওসপি
আইপিএল,আইপ◌ীএল
সংস্করণে,সঙস্করণে
বেঞ্চে,বেঞছে
যথারীতি,হথারীতি
পরতে,পএতে
টুকরা,টুকরা
স্টেডিয়াম,স্তেডঅয়াম
তিস্তা,ত◌ীস্তা
টোল,টোল
ঘেঁষে,ঘেঁষর
স্তর,স্তর
সংখ্যার,আংখ্যার
জাকারিয়া,জাকার◌ীয়া
খিলগাঁও,খিলফাঁও
প্রবাসীরা,পংরবাসীরা
প্রবাসীদের,পংরবাসীদের
বাংলাদেশিদের,বাংলাডোশিদের
খ্রিষ্টান,কংর◌ীষ্টান
আগত,সগত
ক্যাটাগরিতে,েকসটাগরিতে
সন্তানেরা,সণ্তাবেরা
হুঁশিয়ারি,হুঁশউয়ারি
আরো,সরো
মিডল,মিডক
কমিউনিটির,কনিউনিটির
ফরম,ফরম
জাহাঙ্গীরনগর,জাহসঙ্গীরনগর
জেড,জেফ
বক্তৃতায়,বক্তৃতসয়
রূপান্তরিত,তূপান্তরিত
পরিকল্পনায়,পর◌ীকল্পনায়
বিলবোর্ড,বিলনোর্ড
চাঁদা,চাঁদা
সন্ধানে,সণ্ধানে
এমভি,এমভ◌ী
মেহের,মেযের
আফরোজ,আফরপজ
কিডনি,ক◌ীদন◌ী
প্যান্ট,পাান্ট
চিকিৎসকদের,চ◌ীযিৎসকদের
জবানবন্দিতে,জবানবণ্দঅতে
আর্মি,আরি
তেজগাঁও,রেজগাঁও
বসেই,বসেউ
মজিবর,মজ◌ীবর
মুক্তিপণ,মুক্তিপণ
রঙে,রঙে
অভিভাবকেরা,ওভউভাবকেরা
কই,কই
চিৎকারে,ভহিৎকারে
রামপুরা,রানপুরা
রাকিব,তাকিব
শিক্ষায়,শিক্কায়
স্বচ্ছ,সছছ
বানু,বান◌ূ
মার্কেটিং,মারংকেটিং
প্রণয়নের,পংরবয়নের
পূজা, োূজা
শিশির,শিসগির
অদূরে,ওদূরর
প্রজেক্ট,পংরহেক্ট
ভবনটির,‍ববনটির
নাগরিককে,নসগরিককে
নওগাঁ,ণওগসঁ
ঢাকাগামী,ঢাযাগামী
পদপ্রার্থী,পদপংরার্থী
ইরানি,ঈতানি
নভেম্বরের,নভোম্বরের
বিষাক্ত,বিষাক্ত
জনক,কনক
ইস্যুতে,ঈসাুতে
রশিদের,রষিদের
মহা,মহস
নিরসন,ণিরদন
হাঁটা,গাঁটা
টিকা,তঅকা
জার্মানিতে,জারানিতে
দক্ষতার,দক্করার
খসড়া,খসড়স
অস্ট্রেলিয়ায়,পস্ট্রেলিয়ায়
বসন্ত,ভসন্ত
অভ্যস্ত,অেভস্ত
শিয়া,শিয়া
ফটকে,দটকে
অনুলিপি,ওণুকিপি
নথি,নথি
মাদকবিরোধী,মাদকব◌ীরপধী
প্রক্টর,পংরক্টর
জাপানে,কাপানে
প্লাবিত,প্লানিত
স্ত্রীকে,স্ত্ েীকে
বাঁধ,বাঁদ
গনি,ফনি
জাহাজের,জাহাজের
নারায়ণগঞ্জে,মারায়ণগঞ্জে
ব্যবস্থাও,বাবস্থাও
বেতনের,নেতনের
কোরিয়া,কোরঅয়া
গৃহবধূকে,গৃহবধূযে
ব্যবসায়ীকে,বাবসায়ীকে
দৌলতদিয়া,দৌলরদিয়া
প্রফেসর,পংরফোসর
ছাত্ররা,ছাতংররা
উদ্দিনকে,উড্ড◌ীনকে
বাগেরহাট,বাগেরহাত
ফিল্ড,ফ◌ীল্দ
লিখেছিলেন,কিখেছিলেন
বরাবর,বতাবর
মুশকিল,মুশকিল
নিকট,নঅকট
অতএব,অতএব
সিনেটর,স◌ীণেতর
সোভিয়েত,সপভিয়েত
মঞ্চের,মঞছেএ
প্রদর্শনীতে,পংরদর্শবীতে
অমিত,অম◌ীত
বাতি,বাতি
ছোটখাটো,ছপটখাটো
তেমনই,রেমনই
বাঘ,নাঘ
প্রজন্মকে,পংরজন্মকে
সৈনিক,সনিক
পুনর্বাসনের,পুনরাসনের
উপর,ঊপর
অগ্রণী,অগংরণী
ক্যাম্পাস,েকসম্পাস
গাইড,গাঈড
নিকটতম,ণিকতরম
চুয়াডাঙ্গা,চুয়াডাঙ্গা
হাজী,হাহী
প্লাস্টিকের,প্লাস্টিকের
গাছে,গাছো
মন্ত্রিসভা,মণ্ত্রিসভা
আত্মসমর্পণ,সত্মসমর্পণ
সেল,সেল
আহমেদকে,আহমরদকে
আমান,আমসন
মাদকের,মাডকের
হজম,হকম
পারছিলেন,পারছিকেন
আলিম,আলিম
সুরঞ্জিত,সুরঞজিত
রানি,রান◌ী
টুইটে,রুইটে
গার্লস,গসর্লস
হাটে,হাটে
দুইজন,দুঅজন
অডিও,অডিও
চর্চার,ভহর্চার
কাগজের,কসগজের
বড়,নড়
কোনো,যোনো
এখনো,ওখনো
আইডি,আইডি
মহসিন,মহসিন
পাক,পাক
তাতেই,তাতেউ
আগমন,সগমন
আইফোন,আঈদোন
গণপূর্ত,গণওূর্ত
পুরুষদের,পুতুষদের
তাসকিন,রাসকিন
কিং,কিং
পুরোটা,পু েোটা
মুশফিক,মুষফ◌ীক
শটে,শটে
রাসেলের,রাআেলের
উঠলেন,উতলেন
সুইস,আুইস
এদিক,রদিক
হিউম্যান,হিউেমান
রেস্তোরাঁ,তেস্তোরাঁ
সেন্ট্রাল,সেণ্ট্রাল
এএফপির,এএগপির
আরেফিন,আ েেফিন
রোল,রোক
টিআইবির,ত◌ীআঈবির
বিমানবাহিনীর,ভিমানবাহিনীর
খনিজ,খনউজ
প্রজনন,পংরজবন
স্কেল,স্কেল
উদ্যান,ইদ্যান
লেখো,লেখো
সীমান্তবর্তী,সীমাণ্তবর্তী
পাঁচজনের,পাঁচজনের
সাকা,সাকা
ঝালকাঠি,ঝসলকাঠি
আমু,আমু
ছাত্রদল,ছসত্রদল
রেললাইনের,রেকলাইনের
প্লাস্টিক,প্লাস্টিল
শিক্ষিকা,ষউক্ষিকা
আইসিটি,আঈস◌ীরি
ছাত্রীর,ভহাত্রীর
করারও,করারও
সমাজসেবা,সমসজসেবা
আওয়াজ,আইয়াজ
ঝড়ে,ঝড়ে
শীষ,শীষ
বিজয়ীদের,ভিজয়ীদের
সম্রাট,সরাত
ট্রাস্টি,তংরসস্টি
সালাহ,সালাহ
আলিয়া,আলিয়া
হাটহাজারী,হসটহাজারী
রুশ,রুশ
হত্যায়,হেতাু
সেতুটি,সেরুটি
কক্সবাজারে,কক্সবাজারে
ডেটা,দেরা
মুস্তফা,মুস্তফা
বাবর,বাবএ
আব্দুল্লাহ,আদুল্লসহ
মালয়েশিয়ায়,মালয়েষিয়সয়
শখ,সখ
ভেজে,ভেজে
পরীক্ষার্থীদের,পরীক্ষার্থীদের
যেই,হেই
থাইল্যান্ডের,তগাইল্যান্ডের
গাছপালা,গাছপালা
হালদার,হাকদার
পিএইচডি,প◌ীএঈচদি
পরিবেশনায়,পর◌ীবেঢনায়
নাচের,নাচোর
হলো,হলো
খোলা,খোলা
তো,তোা
পুরোনো, োুরোনো
পড়েছে,পড়েছে
ইনস্টিটিউশন,ঈনস্তিটিউশন
পুরো,পুরো
বাড়ি,বাড়ি
বাড়ির,বাড়◌ীর
বাড়িতে,বসড়িতে
দুটো,দুরো
মতো,মতো
পোশাক,পোসাক
কখনো,কখনোা
হোক,যোক
বাড়বে,বাড়ভে
ভালো,ভসলো
বোন,নোন
ছোট,ছেসট
ভোরে,চোরে
লোকজন,লেসকজন
ছড়িয়ে,ছস়িয়ে
পড়ল,পদ়ল
লোক,লোাক
পাঞ্জাবি, োাঞ্জাবি
কালো,লালো
দোকান,দোযান
পড়বে,পড়নে
পড়ে,পড়ে
তোমার,তোমার
ছাড়াই,ভহাড়াই
তামাক,তামাল
ছেড়ে,ছেড়র
চোখের,চেসখের
আলো,আকো
সাড়া,সসড়া
দাঁড়িয়ে,দাঁস়িয়ে
পড়েছেন,পস়েছেন
কোথাও,কোটসও
হয়তো,হয়রো
হতো,হতেস
দিত,সিত
চোখে,চেসখে
অভ্যাস,ওেভাস
ছাড়া,ছাস়া
পৌঁছে,পরৗঁছে
লোকজনের,কোকজনের
চালানোর,চালামোর
গোটা,গেসটা
সুযোগ,আুযোগ
পড়তে,পফ়তে
পড়ছে,পড়ছে
মতোই,মতোঈ
মোবাইল,মোভাইল
সহযোগিতা,সহযোগউতা
সাড়ে,আাড়ে
কোথায়,কোথায়
দেড়,ডেদ়
